name,patent_count
"SAMSUNG DISPLAY CO., LTD.",10089
International Business Machines Corporation,9246
CANON KABUSHIKI KAISHA,5210
SONY GROUP CORPORATION,3659
Fujitsu Limited,3275
Kabushiki Kaisha Toshiba,3049
General Electric Company,2935
Intel Corporation,2925
LG ELECTRONICS INC.,2794
"HITACHI, LTD.",2791
MITSUBISHI ELECTRIC CORPORATION,2582
QUALCOMM Incorporated,2387
TOYOTA JIDOSHA KABUSHIKI KAISHA,2315
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",2306
"Taiwan Semiconductor Manufacturing Company, Ltd.",2294
NEC CORPORATION,2180
"Micron Technology, Inc.",2174
Apple Inc.,2168
SEIKO EPSON CORPORATION,1988
GOOGLE LLC,1824
